Symbol,Nasdaq Traded,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
SRLN,True,SPDR Blackstone GSO Senior Loan ETF,P, ,True,100.0,False,,SRLN,SRLN,False
SRLP,True,Sprague Resources LP Common Units representing Limited Partner Interests,N, ,False,100.0,False,,SRLP,SRLP,False
SRNE,True,"Sorrento Therapeutics, Inc. - Common Stock",Q,S,False,100.0,False,N,,SRNE,False
SRPT,True,"Sarepta Therapeutics, Inc. - Common Stock",Q,Q,False,100.0,False,N,,SRPT,False
SRRA,True,"Sierra Oncology, Inc. - Common Stock",Q,G,False,100.0,False,N,,SRRA,False
SRS,True,ProShares UltraShort Real Estate,P, ,True,100.0,False,,SRS,SRS,False
SRT,True,"StarTek, Inc. Common Stock",N, ,False,100.0,False,,SRT,SRT,False
SRTS,True,"Sensus Healthcare, Inc. - Common Stock",Q,S,False,100.0,False,N,,SRTS,False
SRTSW,True,"Sensus Healthcare, Inc. - Warrant",Q,S,False,100.0,False,N,,SRTSW,False
SRTY,True,ProShares UltraPro Short Russell2000,P, ,True,100.0,False,,SRTY,SRTY,False
SRV,True,Cushing MLP & Infrastructure Total Return Fund,N, ,False,100.0,False,,SRV,SRV,False
SSB,True,South State Corporation - Common Stock,Q,Q,False,100.0,False,N,,SSB,False
SSBI,True,Summit State Bank - Common Stock,Q,G,False,100.0,False,N,,SSBI,False
SSC,True,"Seven Stars Cloud Group, Inc. - Common Stock",Q,S,False,100.0,False,N,,SSC,False
SSD,True,"Simpson Manufacturing Company, Inc. Common Stock",N, ,False,100.0,False,,SSD,SSD,False
SSFN,True,Stewardship Financial Corp - Common Stock,Q,S,False,100.0,False,N,,SSFN,False
SSG,True,ProShares UltraShort Semiconductors,P, ,True,100.0,False,,SSG,SSG,False
SSI,True,"Stage Stores, Inc. Common Stock",N, ,False,100.0,False,,SSI,SSI,False
SSKN,True,"Strata Skin Sciences, Inc. - Common Stock",Q,S,False,100.0,False,N,,SSKN,False
SSL,True,Sasol Ltd. American Depositary Shares,N, ,False,100.0,False,,SSL,SSL,False
SSLJ,True,SSLJ.com Limited - Class A Ordinary Shares,Q,S,False,100.0,False,N,,SSLJ,False
SSNC,True,"SS&C Technologies Holdings, Inc. - Common Stock",Q,Q,False,100.0,False,N,,SSNC,False
SSNT,True,"SilverSun Technologies, Inc. - Common Stock",Q,S,False,100.0,False,N,,SSNT,False
SSO,True,ProShares Ultra S&P500,P, ,True,100.0,False,,SSO,SSO,False
SSP,True,E.W. Scripps Company (The) Common Stock,N, ,False,100.0,False,,SSP,SSP,False
SSRM,True,SSR Mining Inc. - Common Stock,Q,Q,False,100.0,False,N,,SSRM,False
SSTI,True,"ShotSpotter, Inc. - Common Stock",Q,S,False,100.0,False,N,,SSTI,False
SSTK,True,"Shutterstock, Inc. Common Stock",N, ,False,100.0,False,,SSTK,SSTK,False
SSW,True,Seaspan Corporation Seaspan Corporation Common Shares,N, ,False,100.0,False,,SSW,SSW,False
SSW$D,True,Seaspan Corporation Cumulative Redeemable Perpetual Preferred Series D (Marshall Islands),N, ,False,100.0,False,,SSWpD,SSW-D,False
SSW$E,True,Seaspan Corporation Cumulative Redeemable Perpetual Preferred Series E (Marshall Islands),N, ,False,100.0,False,,SSWpE,SSW-E,False
SSW$G,True,Seaspan Corporation 8.20% Cumulative Redeemable Perpetual Preferred Shares - Series G,N, ,False,100.0,False,,SSWpG,SSW-G,False
SSW$H,True,Seaspan Corporation 7.875% Cumulative Redeemable Perpetual Preferred Shares - Series H,N, ,False,100.0,False,,SSWpH,SSW-H,False
SSWA,True,Seaspan Corporation 7.125% Notes due 2027,N, ,False,100.0,False,,SSWA,SSWA,False
SSWN,True,Seaspan Corporation 6.375% Notes due 2019,N, ,False,100.0,False,,SSWN,SSWN,False
SSY,True,"SunLink Health Systems, Inc. Common Stock",A, ,False,100.0,False,,SSY,SSY,False
SSYS,True,"Stratasys, Ltd. - Common Stock",Q,Q,False,100.0,False,N,,SSYS,False
ST,True,Sensata Technologies Holding plc Ordinary Shares,N, ,False,100.0,False,,ST,ST,False
STAA,True,STAAR Surgical Company - Common Stock,Q,G,False,100.0,False,N,,STAA,False
STAF,True,"Staffing 360 Solutions, Inc. - Common Stock",Q,S,False,100.0,False,N,,STAF,False
STAG,True,"Stag Industrial, Inc. Common Stock",N, ,False,100.0,False,,STAG,STAG,False
STAG$B,True,"Stag Industrial, Inc. Cum Pfd Ser B",N, ,False,100.0,False,,STAGpB,STAG-B,False
STAG$C,True,"Stag Industrial, Inc. 6.875% Series C Cumulative Redeemable Preferred Stock",N, ,False,100.0,False,,STAGpC,STAG-C,False
STAR,True,iStar Inc. Common Stock,N, ,False,100.0,False,,STAR,STAR,False
STAR$D,True,iStar Inc. Series D Cumulative Redeemable Preferred Stock,N, ,False,100.0,False,,STARpD,STAR-D,False
STAR$G,True,iStar Inc. Series G Cumulative Redeemable Preferred Stock,N, ,False,100.0,False,,STARpG,STAR-G,False
STAR$I,True,iStar Inc. Series I Cumulative Redeemable Preferred Stock,N, ,False,100.0,False,,STARpI,STAR-I,False
STAY,True,"Extended Stay America, Inc. Common Stock",N, ,False,100.0,False,,STAY,STAY,False
STB,True,Student Transportation Inc - Common shares,Q,Q,False,100.0,False,N,,STB,False
STBA,True,"S&T Bancorp, Inc. - Common Stock",Q,Q,False,100.0,False,N,,STBA,False
STBZ,True,State Bank Financial Corporation. - Common Stock,Q,S,False,100.0,False,N,,STBZ,False
STC,True,Stewart Information Services Corporation Common Stock,N, ,False,100.0,False,,STC,STC,False
STCN,True,"Steel Connect, Inc. - Common Stock",Q,Q,False,100.0,False,N,,STCN,False
STDY,True,SteadyMed Ltd. - Ordinary Shares,Q,G,False,100.0,False,N,,STDY,False
STE,True,STERIS plc Ordinary Shares,N, ,False,100.0,False,,STE,STE,False
STFC,True,State Auto Financial Corporation - Common Stock,Q,Q,False,100.0,False,N,,STFC,False
STG,True,"Sunlands Online Education Group American Depositary Shares, representing Class A ordinary shares",N, ,False,100.0,False,,STG,STG,False
STI,True,"SunTrust Banks, Inc. Common Stock",N, ,False,100.0,False,,STI,STI,False
STI$A,True,"SunTrust Banks, Inc. Dep Shs repstg 1/4000 Perpetual Pfd Stk Ser A",N, ,False,100.0,False,,STIpA,STI-A,False
STI.A,True,"SunTrust Banks, Inc. Class A Warrant (Expiring December 31, 2018)",N, ,False,100.0,False,,STI.WS.A,STI+A,False
STI.B,True,"SunTrust Banks, Inc. Class B Warrant (Expiring November 14, 2018)",N, ,False,100.0,False,,STI.WS.B,STI+B,False
STIP,True,iShares 0-5 Year TIPS Bond ETF,P, ,True,100.0,False,,STIP,STIP,False
STK,True,Columbia Seligman Premium Technology Growth Fund Inc,N, ,False,100.0,False,,STK,STK,False
STKL,True,"SunOpta, Inc. - Common Stock",Q,Q,False,100.0,False,N,,STKL,False
STKS,True,"The ONE Group Hospitality, Inc. - Common Stock",Q,S,False,100.0,False,N,,STKS,False
STL,True,Sterling Bancorp,N, ,False,100.0,False,,STL,STL,False
STL$A,True,"Sterling Bancorp Depositary Shares each representing ownership of a 1/40th interest in a share of 6.50% Non-Cumulative, Perpetual Preferred Stock, Series A",N, ,False,100.0,False,,STLpA,STL-A,False
STLD,True,"Steel Dynamics, Inc. - Common Stock",Q,Q,False,100.0,False,N,,STLD,False
STLR,True,Stellar Acquisition III Inc. - Common Stock,Q,S,False,100.0,False,N,,STLR,False
STLRU,True,Stellar Acquisition III Inc. - Unit,Q,S,False,100.0,False,N,,STLRU,False
STLRW,True,Stellar Acquisition III Inc. - Warrants,Q,S,False,100.0,False,N,,STLRW,False
STM,True,STMicroelectronics N.V. Common Stock,N, ,False,100.0,False,,STM,STM,False
STML,True,"Stemline Therapeutics, Inc. - Common Stock",Q,S,False,100.0,False,N,,STML,False
STMP,True,Stamps.com Inc. - Common Stock,Q,Q,False,100.0,False,N,,STMP,False
STN,True,Stantec Inc Common Stock,N, ,False,100.0,False,,STN,STN,False
STNG,True,Scorpio Tankers Inc. Common Shares,N, ,False,100.0,False,,STNG,STNG,False
STNL,True,Sentinel Energy Services Inc. - Class A Ordinary Share,Q,S,False,100.0,False,N,,STNL,False
STNLU,True,Sentinel Energy Services Inc. - Unit,Q,S,False,100.0,False,N,,STNLU,False
STNLW,True,Sentinel Energy Services Inc. - Warrant,Q,S,False,100.0,False,N,,STNLW,False
STO,True,Statoil ASA,N, ,False,100.0,False,,STO,STO,False
STON,True,StoneMor Partners L.P. Common Unit Rep Limited Partnership Interests,N, ,False,100.0,False,,STON,STON,False
STOR,True,STORE Capital Corporation Common Stock,N, ,False,100.0,False,,STOR,STOR,False
STOT,True,SPDR DoubleLine Short Duration Total Return Tactical ETF,Z, ,True,100.0,False,,STOT,STOT,False
STPP,True,Barclays PLC - iPath US Treasury Steepener ETN,Q,G,False,100.0,False,N,,STPP,False
STPZ,True,PIMCO 1-5 Year U.S. TIPS Index Exchange-Traded Fund,P, ,True,100.0,False,,STPZ,STPZ,False
STRA,True,"Strayer Education, Inc. - Common Stock",Q,Q,False,100.0,False,N,,STRA,False
STRL,True,Sterling Construction Company Inc - Common Stock,Q,Q,False,100.0,False,N,,STRL,False
STRM,True,"Streamline Health Solutions, Inc. - Common Stock",Q,S,False,100.0,False,N,,STRM,False
STRS,True,Stratus Properties Inc. - Common Stock,Q,Q,False,100.0,False,N,,STRS,False
STRT,True,Strattec Security Corporation - Common Stock,Q,G,False,100.0,False,N,,STRT,False
STT,True,State Street Corporation Common Stock,N, ,False,100.0,False,,STT,STT,False
STT$C,True,State Street Corporation Dep Shs Representing 1/4000 Ownership Int In Sh Non Cum (Perpertual Pfd Stk Ser C),N, ,False,100.0,False,,STTpC,STT-C,False
STT$D,True,State Street Corporation Depositary Shares representing 1/4000th Perpetual Preferred Series D,N, ,False,100.0,False,,STTpD,STT-D,False
STT$E,True,"State Street Corporation Depository Shares, each representing a 1/4,000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock, Series E, without par value per share",N, ,False,100.0,False,,STTpE,STT-E,False
STT$G,True,"State Street Corporation Depositary shares, each representing a 1/4,000th ownership interest in a share of Fixed-to-Floating Rate Non-Cumulative",N, ,False,100.0,False,,STTpG,STT-G,False
STWD,True,"STARWOOD PROPERTY TRUST, INC. Starwood Property Trust Inc.",N, ,False,100.0,False,,STWD,STWD,False
STX,True,Seagate Technology PLC - Ordinary Shares (Ireland),Q,Q,False,100.0,False,N,,STX,False
STZ,True,"Constellation Brands, Inc. Common Stock",N, ,False,100.0,False,,STZ,STZ,False
STZ.B,True,"Constellation Brands, Inc. Common Stock",N, ,False,100.0,False,,STZ.B,STZ.B,False
SU,True,Suncor Energy  Inc. Common Stock,N, ,False,100.0,False,,SU,SU,False
SUB,True,iShares Short-Term National Muni Bond ETF,P, ,True,100.0,False,,SUB,SUB,False
SUI,True,"Sun Communities, Inc. Common Stock",N, ,False,100.0,False,,SUI,SUI,False
SUM,True,"Summit Materials, Inc. Class A Common Stock",N, ,False,100.0,False,,SUM,SUM,False
SUMR,True,"Summer Infant, Inc. - Common Stock",Q,S,False,100.0,False,N,,SUMR,False
SUN,True,Sunoco LP Common Units representing limited partner interests,N, ,False,100.0,False,,SUN,SUN,False
SUNS,True,Solar Senior Capital Ltd. - Common Stock,Q,Q,False,100.0,False,N,,SUNS,False
SUNW,True,"Sunworks, Inc. - Common Stock",Q,S,False,100.0,False,N,,SUNW,False
SUP,True,"Superior Industries International, Inc. Common Stock (DE)",N, ,False,100.0,False,,SUP,SUP,False
SUPN,True,"Supernus Pharmaceuticals, Inc. - Common Stock",Q,G,False,100.0,False,N,,SUPN,False
